ACCESS_ALL_DOWNLOADS;Allows the app to view and modify all downloads initiated by any app on the system.;signature;android.permission.ACCESS_ALL_DOWNLOADS
ACCESS_ALL_PRINT_JOBS;Allows the holder to access print jobs created by another app. Should never be needed for normal apps.;signature;com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS
ACCESS_BLUETOOTH_SHARE;Allows the app to access the BluetoothShare manager and use it to transfer files.;signature;android.permission.ACCESS_BLUETOOTH_SHARE
ACCESS_CACHE_FILESYSTEM;Allows the app to read and write the cache filesystem.;signature|system;android.permission.ACCESS_CACHE_FILESYSTEM
ACCESS_CHECKIN_PROPERTIES;Allows read/write access to the "properties" table in the checkin database, to change values that get uploaded. Not for use by third-party applications.;signature|system;android.permission.ACCESS_CHECKIN_PROPERTIES
ACCESS_COARSE_LOCATION;Allows an app to access approximate location. Alternatively, you might want ACCESS_FINE_LOCATION.;dangerous;android.permission.ACCESS_COARSE_LOCATION
ACCESS_CONTENT_PROVIDERS_EXTERNALLY;Allows the holder to access content providers from the shell. Should never be needed for normal apps.;signature;android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY
ACCESS_DOWNLOAD_MANAGER;Allows the app to access the download manager and to use it to download files. Malicious apps can use this to disrupt downloads and access private information.;signature|system;android.permission.ACCESS_DOWNLOAD_MANAGER
ACCESS_DOWNLOAD_MANAGER_ADVANCED;Allows the app to access the download manager's advanced functions. Malicious apps can use this to disrupt downloads and access private information.;signature|system;android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED
ACCESS_DRM_CERTIFICATES;Allows an application to provision and use DRM certficates. Should never be needed for normal apps.;signature|system;android.permission.ACCESS_DRM_CERTIFICATES
ACCESS_FINE_LOCATION;Allows an app to access precise location. Alternatively, you might want ACCESS_COARSE_LOCATION.;dangerous;android.permission.ACCESS_FINE_LOCATION
ACCESS_INPUT_FLINGER;Allows the app to use InputFlinger low-level features.;signature;android.permission.ACCESS_INPUT_FLINGER
ACCESS_KEYGUARD_SECURE_STORAGE;Allows an application to access keguard secure storage.;signature;android.permission.ACCESS_KEYGUARD_SECURE_STORAGE
ACCESS_LOCATION_EXTRA_COMMANDS;Allows an application to access extra location provider commands.;normal;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
ACCESS_NETWORK_CONDITIONS;Allows an application to listen for observations on network conditions. Should never be needed for normal apps.;signature|system;android.permission.ACCESS_NETWORK_CONDITIONS
ACCESS_NETWORK_STATE;Allows applications to access information about networks.;normal;android.permission.ACCESS_NETWORK_STATE
ACCESS_NOTIFICATIONS;Allows the app to retrieve, examine, and clear notifications, including those posted by other apps.;signature|system;android.permission.ACCESS_NOTIFICATIONS
ACCESS_NOTIFICATION_POLICY;Marker permission for applications that wish to access notification policy.;normal;android.permission.ACCESS_NOTIFICATION_POLICY
ACCESS_PROVIDER;Allows the app to access your email database, including received messages, sent messages, usernames, and passwords.;signature;com.android.email.permission.ACCESS_PROVIDER
ACCESS_SURFACE_FLINGER;Allows the app to use SurfaceFlinger low-level features.;signature;android.permission.ACCESS_SURFACE_FLINGER
ACCESS_WIFI_STATE;Allows applications to access information about Wi-Fi networks.;normal;android.permission.ACCESS_WIFI_STATE
ACCOUNT_MANAGER;Allows applications to call into AccountAuthenticators. Not for use by third-party applications.;signature|system;android.permission.ACCOUNT_MANAGER
ADD_VOICEMAIL;Allows an application to add voicemails into the system.;dangerous;com.android.voicemail.permission.ADD_VOICEMAIL
ALLOW_ANY_CODEC_FOR_PLAYBACK;Allows the app to use any installed media decoder to decode for playback.;signature|system;android.permission.ALLOW_ANY_CODEC_FOR_PLAYBACK
ANSWER_PHONE_CALLS;Allows the app to answer an incoming phone call.;dangerous;android.permission.ANSWER_PHONE_CALLS
BACKUP;Allows the app to control the system's backup and restore mechanism. Not for use by normal apps.;signature|system;android.permission.BACKUP
BATTERY_STATS;Allows an application to collect battery statistics;;android.permission.BATTERY_STATS
BIND_ACCESSIBILITY_SERVICE;Allows the holder to bind to the top-level interface of an accessibility service. Should never be needed for normal apps.;signature;android.permission.BIND_ACCESSIBILITY_SERVICE
BIND_APPWIDGET;Allows an application to tell the AppWidget service which application can access AppWidget's data. The normal user flow is that a user picks an AppWidget to go into a particular host, thereby giving that host application access to the private data from the AppWidget app. An application that has this permission should honor that contract. Not for use by third-party applications.;signature|system;android.permission.BIND_APPWIDGET
BIND_AUTOFILL_SERVICE;Must be required by a AutofillService, to ensure that only the system can bind to it.;signature;android.permission.BIND_AUTOFILL_SERVICE
BIND_CARRIER_MESSAGING_SERVICE;;;android.permission.BIND_CARRIER_MESSAGING_SERVICE
BIND_CARRIER_SERVICES;The system process that is allowed to bind to services in carrier apps will have this permission. Carrier apps should use this permission to protect their services that only the system is allowed to bind to.;signature|privileged;android.permission.BIND_CARRIER_SERVICES
BIND_CHOOSER_TARGET_SERVICE;Must be required by a ChooserTargetService, to ensure that only the system can bind to it.;signature;android.permission.BIND_CHOOSER_TARGET_SERVICE
BIND_CONDITION_PROVIDER_SERVICE;Allows the holder to bind to the top-level interface of a condition provider service. Should never be needed for normal apps.;signature;android.permission.BIND_CONDITION_PROVIDER_SERVICE
BIND_DEVICE_ADMIN;Allows the holder to send intents to a device administrator. Should never be needed for normal apps.Must be required by device administration receiver, to ensure that only the system can interact with it.;signature;android.permission.BIND_DEVICE_ADMIN
BIND_DREAM_SERVICE;Allows the holder to bind to the top-level interface of a dream service. Should never be needed for normal apps.;signature;android.permission.BIND_DREAM_SERVICE
BIND_INCALL_SERVICE;Must be required by a InCallService, to ensure that only the system can bind to it.;signature|privileged;android.permission.BIND_INCALL_SERVICE
BIND_INPUT_METHOD;Allows the holder to bind to the top-level interface of an input method. Should never be needed for normal apps.;signature;android.permission.BIND_INPUT_METHOD
BIND_JOB_SERVICE;This permission allows the Android system to run the application in the background when requested.;signature;android.permission.BIND_JOB_SERVICE
BIND_MIDI_DEVICE_SERVICE;Must be required by an MidiDeviceService, to ensure that only the system can bind to it.;signature;android.permission.BIND_MIDI_DEVICE_SERVICE
BIND_NFC_SERVICE;Allows the holder to bind to applications that are emulating NFC cards. Should never be needed for normal apps.;signature;android.permission.BIND_NFC_SERVICE
BIND_NOTIFICATION_LISTENER_SERVICE;Allows the holder to bind to the top-level interface of a notification listener service. Should never be needed for normal apps.;signature;android.permission.BIND_NOTIFICATION_LISTENER_SERVICE
BIND_PACKAGE_VERIFIER;Allows the holder to make requests of package verifiers. Should never be needed for normal apps.;signature;android.permission.BIND_PACKAGE_VERIFIER
BIND_PRINT_SERVICE;Allows the holder to bind to the top-level interface of a print service. Should never be needed for normal apps.;signature;android.permission.BIND_PRINT_SERVICE
BIND_PRINT_SPOOLER_SERVICE;Allows the holder to bind to the top-level interface of a print spooler service. Should never be needed for normal apps.;signature;android.permission.BIND_PRINT_SPOOLER_SERVICE
BIND_QUICK_SETTINGS_TILE;Allows an application to bind to third party quick settings tiles.;;android.permission.BIND_QUICK_SETTINGS_TILE
BIND_REMOTEVIEWS;Allows the holder to bind to the top-level interface of a widget service. Should never be needed for normal apps.;signature|system;android.permission.BIND_REMOTEVIEWS
